,software,categories
4333,Reonomy,['Property Intelligence']
4334,RepMove,['Field Sales']
4335,RepSignal,"['Healthcare Analytics', 'Healthcare Commercial Intelligence']"
4336,RepSpark,"['E-Commerce Platforms', 'Supply Chain Business Networks']"
4337,Rephonic,['Other Creative Services']
4338,Replication Manager,['Business Continuity Management']
4339,Report Portal,['Data Visualization']
4340,ReportDash,['Digital Analytics']
4341,ReportGarden,"['Marketing Resource Management', 'Marketing Analytics']"
4342,ReportLinker,"['Market Intelligence', 'Competitive Intelligence']"
4343,ReportMiner,"['Data Extraction', 'On-Premise Data Integration', 'Data Preparation']"
4344,Reportei,"['Marketing Analytics', 'Social Media Analytics', 'Data Visualization']"
4345,Reports for Work for G Suite,['Google Workspace Utilities']
4346,ReqView,['Requirements Management']
4347,Resco Platform,"['Inspection Management', 'Field Sales', 'Mobile Forms Automation', 'CRM', 'Field Service Management', 'Knowledge Base']"
4348,RescueNet,['Fire Department']
4349,ResearchManager,"['Electronic Data Capture (EDC)', 'Clinical Trial Management Systems']"
4350,ResoluteAI,"['Technology Scouting', 'Enterprise Search Software']"
4351,Resonate Ignite Platform,"['Market Intelligence', 'Audience Intelligence Platforms']"
4352,Responsly,['Other HR']
4353,RestoreIT,['PC Backup']
4354,RetailEdge,['Retail POS']
4355,RetailReport,"['Retail Management Software', 'Retail Analytics']"
4356,Retainly,"['Marketing Automation', 'Customer Journey Mapping']"
4357,RetentionForce,['Spa and Salon Management']
4358,RethinkDB,"['Document Databases', 'AWS Marketplace']"
4359,RevSetter,"['Customer Data Platform (CDP)', 'Customer Success', 'Product Analytics', 'Customer Revenue Optimization']"
4360,Reveal,"['Other Product Suites', 'Partner Ecosystem Platforms', 'Partner Management', 'Sales Intelligence']"
4361,Reveal - Brainspace,['eDiscovery']
4362,Revenue Detective,['Lead Capture']
4363,Revenue Grid,"['Business Scheduling', 'Revenue Operations \\u0026 Intelligence (RO\\u0026I)', 'Sales Engagement', 'AI Sales Assistant', 'Sales Analytics', 'Email Tracking', 'Sales Performance Management']"
4364,RevenueBase,['Lead Generation Services']
4365,RevenueCat,"['Subscription Revenue Management', 'Subscription Analytics']"
4366,RevenueCloud,"['Salesforce AppExchange Apps', 'Revenue Management']"
4367,RevenueSuite,['Medical Billing']
4368,Reverse Contact,['Lead Intelligence']
4369,ReverseLogix,['Returns Management']
4370,ReviewMonitoring.com,['Review Management']
4371,Revintel,['Data Visualization']
4372,Revotas,"['E-Commerce Personalization', 'Customer Data Platform (CDP)', 'Marketing Automation', 'Personalization']"
4373,Revv,"['Document Generation', 'E-Signature', 'Proposal', 'CPQ', 'Contract Management']"
4374,Rewind Backups,"['SaaS Backup', 'Cloud Data Security']"
4375,Rhoads PCRM,['Insurance Compliance']
4376,Rhumbix,"['Autodesk Construction Cloud Integration Partners', 'Jobsite Management']"
4377,RhythmOne,"['Publisher Ad Server', 'Cross-Channel Advertising', 'Supply Side Platform (SSP)', 'Demand Side Platform (DSP)', 'Video Advertising', 'Mobile Advertising', 'Display Advertising', 'Data Management Platform (DMP)']"
4378,RiZone,['Data Center Infrastructure Management (DCIM)']
4379,Rich Filters for Jira,['Data Visualization']
4380,Right On Interactive,['Marketing Automation']
4381,RightBound,"['Sales Intelligence', 'Sales Engagement']"
4382,Rightworks (formerly Right Networks),"['Managed Hosting', 'Cloud Hosting']"
4383,Ring4,"['VoIP', 'UCaaS Platforms']"
4384,Ringostat,"['Inbound Call Tracking', 'VoIP']"
4385,Ringstor Trifecta,"['Server Backup', 'Disaster Recovery as a Service (DRaaS)']"
4386,Riot,['Security Awareness Training']
4387,Ripjar Labyrinth,['Other Analytics']
4388,Risk Ledger,"['Third Party \\u0026 Supplier Risk Management', 'Vendor Security and Privacy Assessment', 'Data Privacy Management']"
4389,RiskMatch,['Insurance Analytics']
4390,RiskOptics ROAR Platform,['IT Risk Management']
4391,RiskProfiler - External Threat Exposure Management,"['Attack Surface Management', 'Exposure Management Platforms', 'Vendor Security and Privacy Assessment', 'Risk-Based Vulnerability Management']"
4392,RiskScreen,['Anti Money Laundering']
4393,Riva,"['AI Sales Assistant', 'Big Data Integration Platforms', 'Email Tracking', 'On-Premise Data Integration', 'Salesforce AppExchange Apps', 'Business Scheduling', 'Cloud Compliance']"
4394,Rivery,"['Cloud Migration', 'ETL Tools', 'Data Extraction', 'Reverse ETL']"
4395,Rivial Compliance Management,['Security Compliance']
4396,Roadmunk by Tempo,"['Strategy and Innovation Roadmapping Tools', 'Project Management', 'Product Management']"
4397,Roadnet Anywhere (RNA),"['Route Planning', 'Last Mile Delivery']"
4398,Roambee,"['Retail IoT', 'Asset Tracking', 'Supply Chain Visibility']"
4399,Robin,"['Runtime', 'Desk Booking', 'Digital Wayfinding', 'Meeting Room Booking Systems', 'Visitor Management', 'Space Management', 'Hybrid Enablement']"
4400,Roboflow,['Image Recognition']
4401,RockWorks,"['Oil and Gas Engineering', 'Geology and Seismic', 'Oil and Gas Simulation and Modeling']"
4402,Rockerbox,"['Retail Intelligence', 'Marketing Analytics', 'Attribution', 'E-Commerce Data Integration']"
4403,Rocket CorBusiness,['Data Visualization']
4404,Rocket D3 DBMS,['Database Management Systems (DBMS)']
4405,Rocket Data Intelligence,['Data Governance']
4406,Rocket Mobius,"['Enterprise Content Management (ECM)', 'Document Scanning']"
4407,Rocket PRO/JCL,['Continuous Delivery']
4408,Rocket TMON One,"['Application Performance Monitoring (APM)', 'Network Monitoring', 'Database Monitoring']"
4409,Rocket UniData,['Database Management Systems (DBMS)']
4410,Rocket.Chat,"['Business Instant Messaging', 'HIPAA Compliant Messaging', 'Communication Platform as a Service', 'Live Chat', 'Video Conferencing', 'UCaaS Platforms']"
4411,Rockset,"['Real-time Analytic Database', 'Vector Database', 'Time Series Databases', 'Big Data Processing and Distribution', 'Big Data Analytics', 'Database as a Service (DBaaS)']"
4412,Roghnu,['Sage Intacct Channel Partners']
4413,RollBack Rx Home,"['Online Backup', 'PC Backup']"
4414,RollWorks Account-Based Platform,"['Marketing Platforms', 'Account-Based Advertising', 'Account-Based Orchestration Platforms', 'Buyer Intent Data Providers', 'Retargeting', 'Customer Data Platform (CDP)', 'Account-Based Analytics', 'Marketing Account Intelligence', 'Account Data Management', 'Marketing Analytics', 'Cross-Channel Advertising', 'Social Media Advertising', 'Display Advertising', 'Marketing Automation', 'Sales Intelligence']"
4415,Rollstack,['Data Visualization']
4416,RootDesk,"['Time Tracking', 'Help Desk']"
4417,RootFi,"['Unified APIs', 'Embedded Integration Platforms', 'Financial Data APIs']"
4418,Rose AI,['Data Visualization']
4419,Rosetta,['Other Implementation Services']
4420,Rosnet Food Management,['Restaurant Management']
4421,Rossum,"['OCR', 'Intelligent Document Processing (IDP)']"
4422,Rotageek,"['Employee Scheduling', 'Workforce Management', 'Time \\u0026 Attendance']"
4423,RubiCore,"['Retail Analytics', 'Retail Intelligence']"
4424,Rubick - Cataloging Suite,['Catalog Management']
4425,Rubli IFRS 16 Lease Solution,"['Lease Accounting', 'Lease Administration']"
4426,Rubrik,"['Data Replication', 'Server Backup', 'ServiceNow Store Apps', 'Data Warehouse', 'Cloud Management Platforms', 'SAP Store']"
4427,Runway Financial,"['Decision-Making', 'Data Visualization', 'Cash Flow Management', 'Budgeting and Forecasting', 'Financial Analysis', 'Corporate Performance Management (CPM)']"
4428,Rx30 The Pharmacy Management System,"['Pharmacy Management Systems', 'Pharmacy POS Systems']"
4429,RxGENESYS Suite,"['Medication Dispensing', 'Pharmaceutical Distribution', 'E-Prescribing']"
4430,S2M-group,"['Lead Generation Services', 'Outsourced Sales Providers']"
4431,SAASPASS,"['Cloud Data Security', 'Multi-Factor Authentication (MFA)', 'Password Manager', 'Identity and Access Management (IAM)', 'User Provisioning and Governance Tools', 'Single Sign-On (SSO)', 'Customer Identity and Access Management (CIAM)']"
4432,SAINT Security Suite,"['Application Security Services', 'Incident Response Services', 'IT Compliance Services', 'Vulnerability Assessment Services', 'Cybersecurity Consulting']"
4433,SALESmanago,"['Personalization', 'Push Notification', 'Account Data Management', 'A/B Testing', 'Marketing Analytics', 'Social Media Management', 'Live Chat', 'Marketing Automation', 'Customer Data Platform (CDP)', 'Marketing Platforms']"
4434,SAMPro Enterprise,"['Field Service Management', 'Construction Project Management']"
4435,SANtricity Software,['Load Balancing']
4436,SAP BW/4HANA,['Data Warehouse']
4437,SAP Business Technology Platform,"['Infrastructure as a Service (IaaS)', 'Database as a Service (DBaaS)', 'Cloud Computing Platforms', 'Cloud Platform as a Service (PaaS)']"
4438,SAP Business Warehouse,['Data Warehouse']
4439,SAP BusinessObjects Business Intelligence (BI),['Analytics Platforms']
4440,SAP Cloud Data Management,['Data Management Suites']
4441,SAP Crystal,['Data Visualization']
4442,SAP Crystal Reports Viewer,['Data Visualization']
4443,"SAP Crystal Reports, developer version for Visual Studio",['Data Visualization']
4444,"SAP Crystal Reports, version for Eclipse",['Data Visualization']
4445,SAP Crystal Server,['Data Visualization']
4446,SAP Customer Data Platform,['Customer Data Platform (CDP)']
4447,SAP Customer Data Solutions,['Other Product Suites']
4448,"SAP Data Integrator, premium edition",['SAP Store']
4449,SAP Data Management,"['Address Verification', 'On-Premise Data Integration', 'Data Quality', 'Data Management Platform (DMP)']"
4450,SAP Data Mapping and Protection by BigID,"['Sensitive Data Discovery', 'SAP Store']"
4451,"SAP Data Quality Management, microservices for location data",['Location Intelligence']
4452,SAP Datasphere,"['Data Warehouse', 'Data Fabric']"
4453,SAP Engineering Control Center,['Product Data Management (PDM)']
4454,SAP Enterprise Product Development,['Product Data Management (PDM)']
4455,"SAP Environment, Health, and Safety Management","['Waste Management', 'Environmental Health and Safety']"
4456,SAP HANA Cloud,"['Data Virtualization', 'Database as a Service (DBaaS)', 'Relational Databases', 'Database Management Systems (DBMS)', 'Data Visualization', 'Location Intelligence', 'Predictive Analytics', 'Text Analysis', 'Time Series Intelligence', 'MLOps Platforms', 'Data Science and Machine Learning Platforms', 'Machine Learning']"
4457,SAP HEC (HANA Enterprise Cloud),"['Relational Databases', 'Database as a Service (DBaaS)']"
4458,SAP IQ,['Relational Databases']
4459,SAP Information Steward,['Data Governance']
4460,SAP Integration Suite,"['iPaaS', 'API Management', 'Mobile Device Management (MDM)', 'Cloud Platform as a Service (PaaS)']"
4461,SAP Leonardo Internet of Things,"['IoT Platforms', 'IoT Analytics Platforms', 'Digital Twin']"
4462,SAP Live Access,['SAP Store']
4463,SAP Lumira,['Data Visualization']
4464,SAP Marketing Cloud,"['Marketing Account Intelligence', 'Account Data Management', 'Marketing Analytics', 'Marketing Automation', 'Marketing Resource Management', 'Account-Based Advertising', 'Marketing Platforms', 'SAP Store']"
4465,SAP Master Data Governance (MDG),"['Data Governance', 'Master Data Management (MDM)', 'SAP Store']"
4466,"SAP Master Data Governance, EAM extension by Utopia",['SAP Store']
4467,SAP NetWeaver,['Other Development']
4468,SAP SQL Anywhere,"['Relational Databases', 'Database Security']"
4469,SAP Treasury and Risk Management,['Treasury Management Systems']
4470,SAS 360 Discover,"['Customer Journey Mapping', 'Marketing Analytics', 'Digital Analytics']"
4471,SAS Add-In for Microsoft Office 365,['Other Analytics']
4472,SAS Analytics for IoT,"['IoT Analytics Platforms', 'IoT Edge Platforms']"
4473,SAS Continuous Monitoring for Procurement Integrity,"['Tools for ERP', 'SAP Store']"
4474,SAS Customer Data Platform Capabilities,"['Customer Data Platform (CDP)', 'Customer Journey Mapping']"
4475,SAS Data Loader for Hadoop,['Data Preparation']
4476,SAS Data Management,['Other Product Suites']
4477,SAS Data Management Advanced,['Other Product Suites']
4478,SAS Data Quality,['Data Quality']
4479,SAS Decision Manager,['Decision Management Platforms']
4480,SAS Detection and Investigation for Government,['Other Government']
4481,SAS Econometrics,['Corporate Performance Management (CPM)']
4482,SAS Enterprise Guide,['Analytics Platforms']
4483,SAS Enterprise Miner,"['Predictive Analytics', 'Data Science and Machine Learning Platforms', 'Statistical Analysis']"
4484,SAS Event Stream Processing,['Event Stream Processing']
4485,SAS Federation Server,['Data Virtualization']
4486,SAS Fraud Management,['E-commerce Fraud Protection']
4487,SAS In-Memory Statistics,"['Big Data Analytics', 'Statistical Analysis']"
4488,SAS Intelligent Advertising for Publishers,['Publisher Ad Server']
4489,SAS OLAP SERVER,['Other Analytics']
4490,SAS Optimization,['Other Analytics']
4491,SAS Studio,['Other Development']
4492,SAS Text Miner,['Text Analysis']
4493,SAS Visual Analytics,['Analytics Platforms']
4494,SAS Visual Data Mining and Machine Learning,"['Data Science and Machine Learning Platforms', 'Predictive Analytics']"
4495,SAS Visual Data Science Decisioning,['Other Product Suites']
4496,SAS Visual Investigator,['Incident Management']
4497,SAS Visual Statistics,"['Predictive Analytics', 'Statistical Analysis']"
4498,SAS Viya,"['MLOps Platforms', 'Statistical Analysis', 'Data Governance', 'Event Stream Processing', 'Data Preparation', 'Text Analysis', 'Data Science and Machine Learning Platforms', 'Machine Learning', 'Analytics Platforms', 'Predictive Analytics', 'Database Management Systems (DBMS)', 'Corporate Performance Management (CPM)', 'Data Quality', 'Decision Management Platforms']"
4499,SAS/Graph,['Data Visualization']
4500,SAS/STAT,['Statistical Analysis']
4501,SCOPE Better,"['Quote-to-Cash', 'Proposal', 'Pricing', 'CPQ']"
4502,SDS/2,['Building Design and Building Information Modeling (BIM)']
4503,SEISO,['Other Digital Advertising']
4504,SENTIO VR,['VR SDK']
4505,SEOBLAZER,['SEO Tools']
4506,SEOTesting,['SEO Tools']
4507,SEOmonitor,['SEO Tools']
4508,SEOwind,['SEO Tools']
4509,SFTP To Go,['File Transfer Protocol (FTP)']
4510,SHAZAM!,['Electronic Data Capture (EDC)']
4511,SHIELD Analytics,['Social Media Analytics']
4512,SIMATIC WinCC,['Supervisory Control and Data Acquisition (SCADA)']
4513,SMARTS Decision Management Platform,"['Low-Code Development Platforms', 'Business Process Management', 'Decision Management Platforms']"
4514,SMG - Service Management Group,"['Experience Management', 'Employee Engagement', 'Feedback Analytics']"
4515,SMS Notify API,"['SMS Marketing', 'Emergency Notification', 'Proactive Notification', 'Communication Platform as a Service']"
4516,SMS Pro,['Aviation MRO']
4517,SMS-iT,['Communication Platform as a Service']
4518,SMSPortal,['SMS Marketing']
4519,SOAX,"['Proxy Network', 'Data Extraction', 'Web Data Providers']"
4520,SOCRadar CTI4SOC,['Threat Intelligence']
4521,SOFOS,"['K-12 Student Information Systems', 'Student Information Systems (SIS)']"
4522,SOLIDWORKS,"['Mechanical Computer-aided Design (MCAD)', 'General-Purpose CAD', 'Simulation \\u0026 CAE', 'CAD Viewers', '3D Printing', 'Sketching', 'PCB Design', 'Computer-Aided Manufacturing (CAM)', 'CAD Libraries', 'CAD Data Exchange', 'Simulation and Test Suite']"
4523,SOLV.,"['Website Design', 'Marketing Strategy', 'Social Media Marketing (SMM) Companies', 'Digital Marketing', 'PPC Services']"
4524,SONAR,"['Logistics Intelligence', 'Freight Management', 'Supply Chain Planning']"
4525,SOPRISM by Audiense,['Audience Intelligence Platforms']
4526,SOTI ONE,['Other Product Suites']
4527,SPEC India,['Other Development Services']
4528,SPS Commerce Analytics,"['Retail Analytics', 'Retail Intelligence']"
4529,SPS Commerce Fulfillment EDI,"['Electronic Data Interchange (EDI)', 'Integration Brokerage']"
4530,SQL Buddy,"['Database Management Systems (DBMS)', 'Big Data Processing and Distribution']"
4531,SQL Data Compare,['Database Comparison']
4532,SQL Delta,['Database Comparison']
4533,SQL Developer,['Database Management Systems (DBMS)']
4534,SQL Diagnostic Manager,['Database Monitoring']
4535,SQL Diagnostic Manager for MySQL,['Database Monitoring']
4536,SQL Monitor,['Database Monitoring']
4537,SQL Secure,['Database Security']
4538,SQL Server 2019,['Data Warehouse']
4539,SQL Server Comparison Tool,['Database Comparison']
4540,SQL Toolbelt Essentials,"['Continuous Integration', 'Database DevOps Software']"
4541,SQL Virtual Database,"['Database Management Systems (DBMS)', 'Relational Databases']"
4542,SQL planner,"['Database Backup', 'Database Monitoring']"
4543,SQL-RD SSRS Data Driven Automation,['Document Databases']
4544,SQLBackupAndFTP,"['File Transfer Protocol (FTP)', 'Server Backup', 'Database Backup']"
4545,SQLITE FORENSICS EXPLORER,"['Other Development', 'Relational Databases']"
4546,SQLTreeo Healthcheck,['Healthcare Analytics']
4547,SQLTreeo Monitoring,['Database Monitoring']
4548,SQLite,['Relational Databases']
4549,SQLmap,['Penetration Testing']
4550,SQLyog,['Database Management Systems (DBMS)']
4551,SSIS Data Flow Components,['On-Premise Data Integration']
4552,SSIS Integration Toolkit,['On-Premise Data Integration']
4553,SSL.com,['SSL \\u0026 TLS Certificates']
4554,STARLIMS,"['Electronic Lab Notebook (ELN)', 'LIMS', 'Scientific Data Management System (SDMS)']"
4555,START Vendor Risk Management,['Third Party \\u0026 Supplier Risk Management']
4556,STEMSOFT LAB,"['LIMS', 'Lab Inventory Management']"
4557,STITCH MES,['Apparel Business Management and ERP']
4558,STOCKFLARE,['Financial Analytics']
4559,STRATAFOLIO,"['Real Estate Investment Management', 'Property Management', 'Property Intelligence']"
4560,STRM Privacy,['Data De-Identification']
4561,STRUCTURE,['Construction Accounting']
4562,SUPA,['Data Labeling']
4563,SURE Aerial,['Photo Editing']
4564,SYD,"['Corporate Wellness', 'Employee Engagement']"
4565,SYDLE ONE,"['CRM', 'Contract Management', 'Chatbots', 'Enterprise Content Management (ECM)', 'Low-Code Development Platforms', 'IT Service Management (ITSM) Tools', 'Business Process Management', 'Service Desk']"
4566,SYNC,"['E-Commerce Data Integration', 'API Management', 'On-Premise Data Integration', 'Tools for ERP', 'iPaaS']"
4567,SYNCHRO Construction,['Construction Data Analytics']
4568,SYNERGY Shop Management System,['Auto Repair']
4569,SYSTAM DCIM,['Data Center Infrastructure Management (DCIM)']
4570,S\u0026P Capital IQ Platform,['Financial Research']
4571,S\u0026P Capital IQ Pro,['Financial Research']
4572,SaaSGrid,"['Corporate Performance Management (CPM)', 'Financial Analysis']"
4573,SaaSync,['Subscription Analytics']
4574,SaasabiPro,['Analytics Platforms']
4575,Saasable,"['Financial Analytics', 'Subscription Revenue Management']"
4576,Sablono,"['SAP Store', 'Construction Project Management', 'Construction Data Analytics', 'Jobsite Management']"
4577,Sabre Red 360,['Travel Agency']
4578,SabreSonic Res,['Airline Reservations']
4579,Safari Portal,"['Travel Agency', 'Tour Operator']"
4580,SafeBox,['Virtual IT Labs']
4581,SafeQual,['Healthcare Compliance']
4582,Safeguard Global,"['Employer of Record (EOR)', 'Global Employment Platforms (GEP)', 'Contractor Management', 'Core HR']"
4583,Safelog,['Aviation MRO']
4584,Safetica,"['Insider Threat Management (ITM)', 'Sensitive Data Discovery', 'Cloud File Security', 'User and Entity Behavior Analytics (UEBA)', 'Cloud Data Security', 'Data Loss Prevention (DLP)']"
4585,SafetyCulture,"['Food Safety Management', 'Construction Risk Assessment Software', 'Investigation Management', 'Business Continuity Management', 'Audit Management', 'Mobile Forms Automation', 'Facility Management', 'Data Visualization', 'Environmental, Social, and Governance (ESG) Reporting', 'Inspection Management']"
4586,SafetyNet,['Occupational Health and Safety (OHS)']
4587,Sage 300 ERP Consulting,"['Management Consulting', 'Other Sage Resellers']"
4588,Sage Estimating,['Construction Estimating']
4589,SailPoint,"['Sensitive Data Discovery', 'Self-Service Password Reset (SSPR)', 'Identity and Access Management (IAM)', 'User Provisioning and Governance Tools', 'Cloud Infrastructure Entitlement Management (CIEM)']"
4590,Salary.com,"['Job Description Management', 'Compensation Management', 'Pay Equity']"
4591,SaleSphere,['Sales Enablement']
4592,Saleo,['Demo Automation']
4593,Sales Infinite,"['Customer Data Platform (CDP)', 'CRM']"
4594,Sales Prophet,['Sales Intelligence']
4595,Sales Tax DataLINK,"['Sales Tax and VAT Compliance', 'Corporate Tax']"
4596,Sales Temperature,['Retail Analytics']
4597,SalesBlink,['Sales Engagement']
4598,SalesEngine.ai,"['Competitive Intelligence', 'Sales Intelligence']"
4599,SalesIntel,"['Sales Intelligence', 'Salesforce AppExchange Apps', 'Visitor Identification', 'Marketing Account Intelligence', 'Lead Intelligence', 'Lead Capture', 'Buyer Intent Data Providers']"
4600,SalesNash,['Outsourced Sales Providers']
4601,SalesScreen,"['Sales Gamification', 'Sales Performance Management', 'Sales Coaching']"
4602,SalesStreamliner,"['Quote-to-Cash', 'Subscription Billing', 'Subscription Revenue Management', 'Sales Analytics', 'Payment Processing']"
4603,SalesTrack,['Other Sales']
4604,SalesVisual,"['Salesforce AppExchange Apps', 'Data Visualization']"
4605,Salesforce Adapter for SAP HANA Smart Data Integration,"['Tools for ERP', 'SAP Store']"
4606,Salesforce Adapter for SAP Process Orchestration and SAP Integration Suite,"['Tools for ERP', 'SAP Store']"
4607,Salesforce CRM Analytics (formerly Tableau CRM),"['Revenue Operations \\u0026 Intelligence (RO\\u0026I)', 'Analytics Platforms', 'Analytics Tools \\u0026 Software', 'Predictive Analytics']"
4608,Salesforce Net Zero Cloud,"['Sustainability Management', 'Environmental, Social, and Governance (ESG) Reporting']"
4609,Salesforce Security and Privacy,"['Insider Threat Management (ITM)', 'Encryption Key Management', 'Encryption', 'Mobile Data Security', 'Data De-Identification', 'Data Subject Access Request (DSAR)', 'Data Governance']"
4610,Salesgenie,"['Lead Mining', 'Lead Intelligence', 'Lead Capture', 'Sales Intelligence', 'Marketing Account Intelligence']"
4611,Salespage DataCenter,['Financial Services CRM']
4612,Salespanel,"['Lead Intelligence', 'Lead Scoring', 'Customer Journey Analytics', 'Customer Data Platform (CDP)']"
4613,SalonUltimate,['Spa and Salon Management']
4614,Salsa CRM,"['Admission-Based Nonprofit', 'Donor Management', 'Nonprofit CRM', 'Fundraising', 'Public Affairs and Advocacy']"
4615,Saltbox,['iPaaS']
4616,Sama,"['Machine Learning Data Catalog', 'Data Labeling']"
4617,Samba Server - Ready to Go,"['Cloud File Storage', 'AWS Marketplace']"
4618,Sample Master LIMS,['LIMS']
4619,Samsara,"['Industrial IoT', 'Fleet Management']"
4620,Sandboxie,['Container Engine']
4621,Sandtime.io,['Time Tracking']
4622,Sangfor WANO,['WAN Optimization']
4623,SansWrite X,['Construction Risk Assessment Software']
4624,Satori Data Security Platform,"['Sensitive Data Discovery', 'Data-Centric Security', 'Data Governance', 'Database Security', 'Data Masking', 'Cloud Data Security']"
4625,Saturn Cloud,"['Data Science and Machine Learning Platforms', 'Other Development', 'Generative AI Infrastructure', 'MLOps Platforms']"
4626,Saviynt,"['AWS Marketplace', 'Cloud File Security', 'Cloud Data Security', 'Cloud Workload Protection Platforms', 'Privileged Access Management (PAM)', 'Identity and Access Management (IAM)', 'User Provisioning and Governance Tools', 'Self-Service Password Reset (SSPR)']"
4627,Savvy Pet Spa,['Pet Grooming']
4628,Sawmill,['Database Monitoring']
4629,Scalable Hosting Solutions,['Other Hosting Services']
4630,Scalaxi,['Low-Code Development Platforms']
4631,Scale Document AI,"['Data Extraction', 'OCR', 'MLOps Platforms']"
4632,ScaleGrid,"['Database as a Service (DBaaS)', 'Database Management Systems (DBMS)', 'Database Monitoring', 'Database Backup']"
4633,Scaleway,"['IoT Platforms', 'Block Storage', 'Object Storage Solutions', 'Archive Storage Solutions', 'Virtual Private Cloud (VPC)', 'Load Balancing', 'Container Registry', 'Server Virtualization', 'Database as a Service (DBaaS)', 'Virtual Private Servers (VPS)', 'Infrastructure as a Service (IaaS)']"
4634,ScanNStore,['Insurance Claims Management']
4635,ScanWriter,['Other Office']
4636,Scandit Barcode Scanning,"['Picking', 'Barcode', 'OCR']"
4637,Scanflow,['Barcode']
4638,Scannable,['Tool Tracking']
4639,ScheduleReader,"['Construction Project Management', 'Oil and Gas Project Management']"
4640,Schema App,['SEO Tools']
4641,School Administrator,['K-12 Student Information Systems']
4642,School Office,"['Education Finance Software', 'Education HR', 'Education ERP Suites', 'K-12 Student Information Systems']"
4643,SchoolBrains,"['Assessment', 'K-12 Student Information Systems']"
4644,SchoolStatus,"['Classroom Messaging', 'School Management']"
4645,Schoolzilla,['K-12 Student Information Systems']
4646,SciNote,"['Scientific Data Management System (SDMS)', 'Lab Inventory Management', 'Electronic Lab Notebook (ELN)']"
4647,SciShield,"['Lab Inventory Management', 'Occupational Health and Safety (OHS)', 'Inspection Management', 'Environmental Health and Safety']"
4648,ScienceLogic SL1 Platform,"['Network Monitoring', 'AIOps Platforms', 'Cloud Infrastructure Monitoring']"
4649,Scikiq: Comprehensive Data Management Platform,['Data Fabric']
4650,Scispot,"['Lab Inventory Management', 'Electronic Lab Notebook (ELN)', 'LIMS', 'Scientific Data Management System (SDMS)']"
4651,Scoop,"['Desk Booking', 'Space Management', 'HR Compliance', 'Digital Wayfinding', 'Time \\u0026 Attendance', 'Ride Sharing', 'Meeting Room Booking Systems', 'Visitor Management', 'Hybrid Enablement']"
4652,Scopito,['Drone Analytics']
4653,Scopus,['Reference Management']
4654,Scoring.One,['Other Analytics']
4655,Scout APM,"['Application Performance Monitoring (APM)', 'Bug Tracking']"
4656,ScoutDNS,['DNS Security Solutions']
4657,Scrape.do,['Data Extraction']
4658,ScrapeHero,['Data Extraction Services']
4659,ScrapeStorm,['Other Analytics']
4660,Scrapeak,['Data Extraction Services']
4661,Screaming Frog Services,['SEO Services']
4662,Screenful,"['Project Management Tools', 'Software Development Analytics Tools', 'Marketing Analytics', 'Data Visualization']"
4663,Screenloop,"['Video Interviewing', 'Talent Intelligence', 'Diversity Recruiting']"
4664,Scribble Maps,"['Location Intelligence', 'GIS', 'Route Planning']"
4665,Scrimba,"['Online Course Providers', 'Technical Skills Development']"
4666,Scrubby,['Email Verification']
4667,Scrunch,['Influencer Marketing Platforms']
4668,Scrutinizer,['Network Traffic Analysis (NTA)']
4669,ScyllaDB,"['Key Value Databases', 'Database as a Service (DBaaS)', 'Wide Column Database']"
4670,Seagate Cloud Disaster Recovery Service,['Disaster Recovery as a Service (DRaaS)']
4671,Searchlight.ai,"['Talent Intelligence', 'Reference Check', 'Talent Assessment', 'Employee Engagement']"
4672,Seascape for Notes,['Structured Data Archiving and Application Retirement']
4673,Seclore Data-Centric Security Platform,"['Digital Rights Management (DRM)', 'Sensitive Data Discovery', 'Cloud File Security', 'Data-Centric Security', 'Cloud Data Security', 'Cloud Email Security', 'Mobile Data Security', 'Endpoint Protection', 'Email Encryption']"
4674,Seclore Email Encryption Plus,"['Digital Rights Management (DRM)', 'Cloud Email Security', 'Email Encryption', 'Data-Centric Security']"
4675,Seclore Inbound Data Protection,"['Digital Rights Management (DRM)', 'Data-Centric Security', 'Cloud Email Security', 'Email Encryption']"
4676,Secoda,"['Active Metadata Management', 'Data Governance', 'Machine Learning Data Catalog', 'Data Fabric', 'DataOps Platforms', 'Sensitive Data Discovery']"
4677,Second Street,"['Sweepstakes', 'Lead Capture', 'Email Marketing']"
4678,Secure Privacy,"['Consent Management Platform (CMP)', 'Cookie Tracking']"
4679,SecureAge Security Suite,"['Email Encryption', 'Encryption', 'Database Security']"
4680,SecureAuth Identity Platform,"['Zero Trust Networking', 'Customer Identity and Access Management (CIAM)', 'Risk-Based Authentication (RBA)', 'Multi-Factor Authentication (MFA)', 'Single Sign-On (SSO)', 'Identity and Access Management (IAM)', 'Passwordless Authentication']"
4681,SecureBridge,['Other IT Security']
4682,SecureCRT,['Terminal Emulator']
4683,"SecureDocs Virtual Data Room, an Onit Product",['Virtual Data Room']
4684,SecureLink Customer Connect,['Remote Support']
4685,SecureZIP,['Encryption']
4686,Secureworks Taegis ManagedXDR,['Managed Detection and Response (MDR)']
4687,Securiti,"['Vendor Security and Privacy Assessment', 'Synthetic Data', 'Sensitive Data Discovery', 'Consent Management Platform (CMP)', 'Cookie Tracking', 'Data Breach Notification', 'Privacy Impact Assessment (PIA)', 'Data Subject Access Request (DSAR)', 'Data Privacy Management', 'Cloud Compliance', 'Data Governance', 'AWS Marketplace']"
